AZ_SCRIPT,ALT_SCRIPT,ALT,AZ,HA,RA,DEC,LST,ETIQUETA,TIME,
0,85,1.481963872,0.13068596,-0.003063088951,1.310434097,-0.3056033507,4:59:38,898,5/6/2016 14:02:02,104
1.118,34.088,0.5936710969,0.03997986024,-0.01992709264,1.336508116,0.5827302012,5:01:44,845,5/6/2016 14:04:08,358
2.927,53.536,0.9331548459,0.06766195618,-0.03480195912,1.360800677,0.2427202038,5:03:54,842,5/6/2016 14:06:17,352
4.045,25.15,0.436822836,0.08917281471,-0.09069280715,1.427411665,0.7359571256,5:06:21,847,5/6/2016 14:08:44,2
5.854,40.503,0.703465157,0.134378345,-0.09094634552,1.433580713,0.4666964058,5:07:43,846,5/6/2016 14:10:06,0
7.663,65.558,1.142232982,0.1593160202,-0.058350004,1.407541588,0.03014772591,5:09:13,840,5/6/2016 14:11:36,348
8.781,30.502,0.529250142,0.1715416751,-0.168039659,1.52429497,0.6335797178,5:10:50,849,5/6/2016 14:13:12,6
10.59,48.014,0.8331055777,0.2195917561,-0.13397433,1.496459806,0.3284748478,5:12:16,847,5/6/2016 14:14:38,2
13.517,36.441,0.6331638096,0.249701034,-0.2222634557,1.593851097,0.5175952034,5:14:21,852,5/6/2016 14:16:43,12
15.326,57.505,0.9981404848,0.3038938177,-0.1476270667,1.528101172,0.1560339452,5:16:23,847,5/6/2016 14:18:45,2
20.062,73,1.264287221,0.43443065,-0.104136062,1.491801798,-0.1129285662,5:18:02,840,5/6/2016 14:20:23,348
21.18,32.693,0.5666813588,0.382267046,-0.3672024664,1.760977391,0.5439863401,5:19:26,855,5/6/2016 14:21:47,18
22.989,51.325,0.8885477788,0.4305921442,-0.2571817456,1.724574444,0.234159174,5:36:18,853,5/6/2016 14:38:36,14
25.916,38.913,0.6711523365,0.4752146974,-0.385159123,1.874811516,0.4172810488,5:41:24,857,5/6/2016 14:43:42,22
28.843,29.197,0.5053261238,0.5142925306,-0.5193917107,2.021233459,0.5453681356,5:44:12,859,5/6/2016 14:46:29,26
30.652,46.116,0.7969622712,0.5575890081,-0.3799995145,1.888949982,0.2776795443,5:45:50,859,5/6/2016 14:48:06,26
33.579,34.98,0.5993763244,0.6086757958,-0.5240683079,2.038007676,0.422609176,5:46:58,861,5/6/2016 14:49:15,30
35.388,55,0.952983209,0.6390504998,-0.3444328879,1.871735131,0.1177962846,5:50:02,859,5/6/2016 14:52:18,26
38.315,41.526,0.7115319947,0.6948608986,-0.5097505046,2.046996788,0.2919230574,5:52:19,864,5/6/2016 14:54:34,36
40.124,68.029,1.181726733,0.7228632002,-0.2475077119,1.793377943,-0.09162500925,5:54:17,852,5/6/2016 14:56:33,12
41.242,31.334,0.5309857389,0.7436081489,-0.6628232298,2.22539999,0.4039518794,5:58:07,867,5/6/2016 15:00:22,42
43.051,49.251,0.848326006,0.7751023722,-0.4713512113,2.047105554,0.1500841556,6:01:08,863,5/6/2016 15:03:22,34
45.978,37.376,0.6367663032,0.8258537627,-0.6405632707,2.222218904,0.2801622905,6:02:29,868,5/6/2016 15:04:43,44
47.787,59.193,1.027758932,0.8485775181,-0.3921938097,1.980466236,-0.01195335055,6:04:00,863,5/6/2016 15:06:14,34
48.905,27.921,0.4773661091,0.8669911211,-0.796906184,2.391825009,0.3638880831,6:05:32,872,5/6/2016 15:07:45,52
